Gesamtübersicht: Daten zum Kriminalitätsatlas (PKS 2023),,,,,,,,,,,,,,,,,,
Häufigkeitszahlen (HZ) der Bezirke und Bezirksregionen,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
010000,Mitte,"21,046",223,131,"2,050",580,893,"9,576",110,"1,211","1,119",204,106,34,"1,554",246,832,"4,836"
011001,Tiergarten Süd,"27,470",287,190,"2,557",642,"1,242","12,588",147,"1,609","1,707",202,92,31,"1,823",214,"1,284","6,844"
011002,Regierungsviertel,"47,982",322,161,"3,546",835,"1,861","22,240",95,"1,729","1,443",286,51,7,"3,604",755,"1,209","8,197"
011003,Alexanderplatz,"32,060",324,187,"3,214",968,"1,121","16,212",109,"1,007","1,388",238,101,29,"2,102",388,"1,198","6,639"
011004,Brunnenstraße Süd,"11,365",156,98,"1,086",284,348,"5,484",70,549,"1,382",183,58,15,"1,389",293,253,"2,658"
012005,Moabit West,"13,450",102,64,"1,291",333,666,"4,425",93,969,456,180,104,36,"1,170",104,380,"3,142"
012006,Moabit Ost,"24,186",167,97,"2,130",529,921,"9,699",53,965,791,188,139,72,"1,420",227,"1,299","4,687"
013007,Osloer Straße,"16,755",229,108,"1,892",543,862,"8,017",108,"1,102",829,178,106,28,"1,156",118,353,"4,638"
013008,Brunnenstraße Nord,"16,856",183,86,"1,912",578,880,"6,837",163,"1,122","1,097",245,143,35,"1,641",368,880,"4,287"
014009,Parkviertel,"14,917",142,80,"1,441",406,705,"7,423",153,"1,671","1,030",187,105,37,"1,079",67,327,"4,064"
014010,Wedding Zentrum,"16,531",291,191,"1,762",577,757,"7,435",77,"1,229","1,323",193,96,30,"1,227",205,999,"4,622"
019900,"Bezirk (Mi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
020000,Friedrichshain-Kreuzberg,"19,017",314,206,"1,874",626,719,"8,611",134,"1,251","1,391",169,101,29,"1,671",273,"1,517","4,333"
021001,Südliche  Friedrichstadt,"20,540",251,138,"2,099",736,840,"8,351",142,"1,732","1,206",135,152,31,"1,824",222,"1,728","4,488"
022002,Tempelhofer Vorstadt,"15,973",197,109,"1,460",438,595,"8,341",136,"1,476","1,602",136,123,39,"1,204",193,592,"3,189"
023003,Nördliche Luisenstadt,"26,977",448,302,"2,291",917,"1,843","12,222",206,"1,682","1,365",171,91,30,"1,838",206,"2,875","6,305"
023004,Südliche Luisenstadt,"29,509",962,714,"2,390","1,124",564,"11,274",109,"2,507","2,292",248,101,49,"2,195",252,"5,509","5,881"
024005,Karl-Marx-Allee Nord,"10,482",168,129,"1,099",281,514,"5,015",164,612,947,242,58,16,939,113,257,"3,378"
024006,Karl-Marx-Allee Süd,"25,292",381,262,"2,841",792,792,"12,007",179,882,"1,095",164,105,15,"2,127",415,"1,364","6,086"
025007,Frankfurter Allee Nord,"12,328",130,60,"1,047",272,550,"6,333",82,379,"1,059",120,63,22,"1,410",231,237,"2,805"
025008,Frankfurter Allee Süd FK,"15,591",195,120,"1,939",635,521,"6,452",77,584,"1,216",187,74,21,"1,864",449,"1,283","4,078"
029900,"Bezirk (Fh-Kb), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
030000,Pankow,"9,250",125,92,907,234,456,"4,370",128,586,841,162,67,23,"1,081",222,215,"2,372"
031001,Buch,"12,079",90,79,"1,695",451,743,"4,668",79,648,417,107,118,68,"1,695",259,197,"3,525"
032002,Blankenfelde/Niederschönhausen,"5,955",78,47,505,111,371,"2,298",111,418,408,152,74,30,866,94,54,"1,442"
032003,Buchholz,"5,572",37,32,479,128,277,"2,445",128,442,447,181,53,16,820,48,32,"1,268"
033004,Karow,"4,676",30,25,490,89,292,"2,060",54,317,327,233,35,15,639,173,99,"1,139"
033005,Blankenburg/Heinersdorf/Märchenland,"9,872",89,48,950,273,392,"4,342",125,713,647,285,77,12,"1,063",131,89,"1,954"
034006,Schönholz/Wilhelmsruh/Rosenthal,"6,060",117,74,535,122,265,"2,696",117,784,344,228,85,64,726,58,58,"1,383"
034007,Pankow Zentrum,"8,039",119,86,730,151,353,"3,952",104,405,953,106,36,16,745,119,99,"1,815"
034008,Pankow Süd,"6,608",100,62,629,159,391,"3,007",167,494,721,175,46,13,710,135,121,"1,776"
035009,Weißensee,"8,305",100,75,776,195,472,"3,854",136,565,835,144,49,24,"1,102",195,170,"2,511"
035010,Weißensee Ost,"10,072",139,114,"1,116",271,542,"4,535",164,769,574,164,69,38,"1,167",44,259,"3,387"
036011,Prenzlauer Berg Nordwest,"12,013",214,170,"1,262",370,497,"5,874",83,461,"1,371",138,76,22,"1,309",439,558,"3,253"
036012,Prenzlauer Berg Nord,"9,563",72,43,711,150,304,"5,513",129,590,"1,298",175,43,7,"1,048",282,243,"2,066"
036013,Helmholtzplatz,"9,257",179,113,854,261,362,"4,376",35,336,"1,290",83,44,9,"1,290",427,353,"2,262"
036014,Prenzlauer Berg Ost,"16,297",241,190,"1,482",434,800,"8,776",255,"1,241",779,259,186,45,"1,734",441,386,"3,774"
037015,Prenzlauer Berg Südwest,"11,946",153,113,"1,658",495,495,"5,273",138,404,"1,116",109,58,15,"1,378",367,451,"3,284"
037016,Prenzlauer Berg Süd,"8,495",92,77,696,115,453,"3,993",112,497,977,130,36,0,929,207,192,"2,324"
039900,"Bezirk (Pk), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
040000,Charlottenburg-Wilmersdorf,"15,708",136,81,"1,222",296,724,"7,256",263,"1,526",838,299,71,23,"1,211",220,419,"3,566"
041001,Charlottenburg Nord,"17,128",144,98,"1,532",457,"1,249","5,875",468,"1,753",195,278,108,21,961,15,"1,969","4,015"
042002,Heerstraße,"11,813",147,101,"1,720",480,426,"4,330",380,"1,030",380,403,124,31,"1,875",558,341,"3,385"
042003,Westend,"12,563",100,64,941,239,"1,076","5,706",303,"1,361",567,364,46,29,"1,012",132,200,"3,243"
043004,Schloss Charlottenburg,"10,816",104,60,"1,022",269,551,"5,042",220,802,904,188,86,21,"1,321",382,250,"2,832"
043005,Mierendorffplatz,"12,511",150,98,"1,128",280,646,"5,590",202,"1,409",522,209,91,26,"1,161",189,326,"2,727"
043006,Otto-Suhr-Allee/Kantstraße,"16,987",130,64,"1,299",310,700,"8,565",106,"1,189","1,111",260,74,24,"1,103",168,404,"3,744"
044007,Grunewald,"11,001",65,50,799,161,709,"4,523",271,"1,528",528,593,80,35,"1,503",422,151,"2,860"
044008,Schmargendorf,"7,362",46,32,640,127,382,"3,516",336,823,657,264,58,26,799,96,139,"1,900"
045009,Halensee,"16,423",124,71,"1,024",174,654,"9,133",334,"2,166",967,327,53,21,"1,152",135,210,"4,666"
045010,Lietzenburger Straße,"35,331",286,153,"2,413",614,892,"15,049",229,"2,751","1,176",387,62,15,"1,827",357,772,"6,286"
045011,Volkspark Wilmersdorf,"10,349",105,63,753,178,571,"5,371",219,"1,310",887,227,53,16,784,117,225,"2,309"
049900,"Bezirk (Ch-Wi), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
050000,Spandau,"10,005",97,56,"1,115",255,550,"4,028",207,794,304,186,104,43,931,88,252,"2,533"
051001,Hakenfelde,"7,557",32,21,683,144,480,"3,493",161,518,319,165,105,81,819,46,105,"2,219"
051002,Falkenhagener Feld,"6,000",82,44,928,229,465,"2,132",161,411,129,185,91,35,640,28,131,"2,040"
051003,Spandau Mitte,"14,584",154,104,"1,772",435,822,"5,770",167,"1,014",549,137,147,46,"1,236",116,748,"3,790"
052004,Brunsbütteler Damm,"6,079",55,25,685,126,420,"2,390",244,538,143,181,92,34,739,92,164,"1,592"
052005,Heerstraße,"7,592",104,42,"1,151",256,496,"2,617",201,743,104,234,152,75,866,42,149,"2,374"
052006,Wilhelmstadt,"16,188",142,78,"1,477",354,606,"6,630",161,912,381,185,72,19,"1,115",209,271,"3,115"
053007,Haselhorst,"9,727",81,45,"1,040",182,560,"4,336",394,949,358,242,81,30,989,40,162,"2,554"
053008,Siemensstadt,"13,115",94,55,"1,113",243,517,"5,226",400,"1,669",431,219,63,0,987,204,235,"2,507"
054009,Gatow/Kladow,"4,041",20,10,393,85,204,"1,632",80,294,174,164,60,30,587,10,25,916
059900,"Bezirk (Sp), nicht zuzuordnen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
060000,Steglitz-Zehlendorf,"7,639",69,42,652,136,348,"3,571",218,597,537,309,49,17,869,155,128,"1,746"
061001,Schloßstraße,"16,261",193,126,"1,187",270,598,"9,171",157,647,"1,043",234,36,4,976,130,333,"2,927"
061002,Albrechtstraße,"5,342",55,33,504,107,275,"2,503",211,597,456,164,17,7,556,57,100,"1,417"
062003,Lankwitz,"6,431",48,23,710,150,370,"2,501",245,497,351,213,63,14,637,18,134,"1,698"
062004,Ostpreußendamm,"6,231",28,6,663,145,340,"2,650",265,446,407,318,45,20,722,139,86,"1,438"
063005,Teltower Damm,"7,022",70,47,580,102,315,"3,402",160,528,510,344,29,9,796,38,140,"1,772"
