Gesamtübersicht: Daten zum Kriminalitätsatlas (PKS 2014),,,,,,,,,,,,,,,,,,
Fallzahlen der Bezirke und Bezirksregionen,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
010000,Mitte,"91,321","1,014",521,"6,779","1,736","2,084","41,934",535,"4,352","4,669","1,524",305,125,"5,406","1,177","2,880","15,703"
011001,Tiergarten Süd,"5,294",72,46,482,134,121,"2,490",16,209,195,70,8,5,230,29,146,985
011002,Regierungsviertel,"8,381",49,16,440,92,108,"4,405",10,179,371,52,3,2,361,139,78,832
011003,Alexanderplatz,"21,164",199,104,"1,290",373,339,"10,532",84,682,"1,065",241,44,17,"1,138",340,465,"2,907"
011004,Brunnenstraße Süd,"4,398",34,15,176,31,64,"2,266",56,230,492,127,6,1,375,154,73,759
012005,Moabit West,"7,204",77,32,546,150,153,"2,645",73,476,399,118,35,15,466,81,206,"1,204"
012006,Moabit Ost,"10,423",54,30,588,155,175,"3,788",42,408,423,98,41,19,475,81,381,"1,263"
013007,Osloer Straße,"8,316",111,52,751,190,216,"3,810",30,404,342,202,33,12,452,46,256,"1,617"
013008,Brunnenstraße Nord,"7,269",108,47,617,165,214,"3,237",67,395,370,177,46,19,537,115,283,"1,533"
014009,Parkviertel,"6,944",89,46,627,151,229,"3,335",58,454,352,176,26,8,446,49,184,"1,641"
014010,Wedding Zentrum,"10,413",131,68,"1,019",283,349,"3,770",61,478,426,257,33,17,654,143,493,"2,308"
019900,"Bezirk (Mi), nicht zuzuordnen","1,515",90,65,243,12,116,"1,656",38,437,234,6,30,10,272,0,315,654
020000,Friedrichshain-Kreuzberg,"62,194",940,650,"4,766","1,519","1,212","28,793",485,"3,107","4,335",904,314,109,"5,034","1,015","3,039","11,082"
021001,Südliche  Friedrichstadt,"10,849",132,81,699,214,225,"4,261",50,806,471,162,41,13,587,104,207,"1,583"
022002,Tempelhofer Vorstadt,"10,696",113,57,881,242,247,"4,927",97,537,997,230,50,18,773,197,206,"1,867"
023003,Nördliche Luisenstadt,"6,668",113,77,517,211,112,"3,015",25,173,391,92,37,13,418,127,352,"1,045"
023004,Südliche Luisenstadt,"7,159",178,136,580,274,117,"2,844",31,220,379,87,53,18,498,159,901,"1,236"
024005,Karl-Marx-Allee Nord,"2,693",31,21,184,47,73,"1,471",68,266,226,72,18,6,267,36,27,628
024006,Karl-Marx-Allee Süd,"6,493",84,55,566,161,105,"3,419",40,304,356,46,16,5,505,101,277,"1,098"
025007,Frankfurter Allee Nord,"4,501",16,9,288,65,85,"2,070",72,194,468,70,27,10,529,73,60,968
025008,Frankfurter Allee Süd FK,"10,270",159,111,887,303,160,"5,142",67,341,840,143,43,19,"1,128",217,640,"2,075"
029900,"Bezirk (Fh-Kb), nicht zuzuordnen","2,865",114,103,164,2,88,"1,644",35,266,207,2,29,7,329,1,369,582
030000,Pankow,"39,803",313,170,"2,587",635,951,"22,010",816,"3,074","4,660","1,138",172,70,"3,994","1,036",500,"8,463"
031001,Buch,"1,497",6,3,124,33,77,762,30,191,96,24,19,8,173,37,20,304
032002,Blankenfelde/Niederschönhausen,"1,510",7,2,110,30,57,738,23,160,122,82,11,3,132,22,12,302
032003,Buchholz,890,2,1,66,16,29,453,21,76,50,38,2,0,93,27,9,143
033004,Karow,798,4,3,52,8,23,402,9,89,104,50,2,0,97,9,9,143
033005,Blankenburg/Heinersdorf/Märchenland,"1,475",8,1,78,19,46,830,17,133,107,53,7,7,102,14,5,187
034006,Schönholz/Wilhelmsruh/Rosenthal,"1,115",9,3,56,6,38,618,19,109,100,67,4,0,111,20,14,213
034007,Pankow Zentrum,"3,545",33,19,174,37,73,"2,179",54,229,614,69,25,11,295,68,36,683
034008,Pankow Süd,"2,492",26,15,161,48,74,"1,397",69,214,388,72,13,10,290,56,15,655
035009,Weißensee,"3,126",26,13,278,66,104,"1,645",64,211,256,65,15,4,349,75,34,801
035010,Weißensee Ost,"1,320",5,4,142,27,51,581,26,129,78,36,8,2,173,31,24,317
036011,Prenzlauer Berg Nordwest,"3,466",38,22,200,62,51,"1,950",51,230,516,45,11,4,281,83,59,712
036012,Prenzlauer Berg Nord,"3,228",31,13,157,36,51,"1,960",80,212,547,38,7,4,278,122,33,607
036013,Helmholtzplatz,"2,334",9,3,138,40,32,"1,469",47,108,361,95,7,4,214,70,19,603
036014,Prenzlauer Berg Ost,"4,264",27,15,232,59,59,"2,254",91,301,343,77,10,4,530,222,48,672
037015,Prenzlauer Berg Südwest,"3,721",24,13,314,95,56,"2,249",62,190,424,187,7,2,340,109,29,921
037016,Prenzlauer Berg Süd,"2,849",13,7,143,28,49,"1,685",99,226,380,137,12,6,311,69,29,734
039900,"Bezirk (Pk), nicht zuzuordnen","2,173",45,33,162,25,81,838,54,266,174,3,12,1,225,2,105,466
040000,Charlottenburg-Wilmersdorf,"53,322",641,338,"3,840",907,"1,493","26,829",767,"4,674","3,117","1,746",134,58,"3,422",792,"1,208","10,047"
041001,Charlottenburg Nord,"2,785",47,25,294,59,111,"1,170",53,378,63,76,9,4,224,49,158,725
042002,Heerstraße,"1,445",14,9,151,48,36,709,54,200,59,96,1,1,183,73,20,287
042003,Westend,"4,549",37,25,212,44,112,"2,725",64,400,193,112,12,8,261,46,18,752
043004,Schloss Charlottenburg,"4,999",54,13,410,100,149,"2,462",59,387,447,166,13,6,422,142,113,"1,116"
043005,Mierendorffplatz,"2,137",41,16,132,39,67,861,16,205,71,42,4,0,117,18,123,361
043006,Otto-Suhr-Allee/Kantstraße,"10,222",105,48,640,138,275,"5,160",72,498,681,220,22,7,567,97,209,"1,662"
044007,Grunewald,"1,656",13,8,80,21,44,942,63,301,58,243,6,3,130,30,15,418
044008,Schmargendorf,"2,090",17,10,153,21,65,"1,216",39,251,250,173,9,3,154,22,22,484
045009,Halensee,"3,952",36,18,247,54,132,"1,785",71,335,209,146,8,6,253,52,79,733
045010,Lietzenburger Straße,"12,444",155,80,955,300,249,"6,059",117,708,415,246,27,11,618,174,212,"1,992"
045011,Volkspark Wilmersdorf,"5,433",70,45,358,73,132,"2,766",87,590,569,224,12,7,365,89,83,997
049900,"Bezirk (Ch-Wi), nicht zuzuordnen","1,610",52,41,208,10,121,974,72,421,102,2,11,2,128,0,156,520
050000,Spandau,"26,499",344,195,"2,724",619,988,"11,390",312,"1,885","1,174",555,174,70,"2,446",331,549,"6,408"
051001,Hakenfelde,"1,491",17,10,151,42,64,687,33,140,63,35,17,6,164,7,32,370
051002,Falkenhagener Feld,"3,178",34,12,411,86,136,"1,190",31,222,164,98,28,10,332,32,58,960
051003,Spandau Mitte,"6,437",99,64,658,154,208,"2,762",37,345,303,55,26,10,522,81,216,"1,591"
052004,Brunsbütteler Damm,"1,539",13,10,128,35,75,760,33,139,60,72,13,4,137,14,24,331
052005,Heerstraße,"2,719",37,26,357,67,123,"1,033",36,152,102,74,31,10,292,20,29,858
052006,Wilhelmstadt,"5,597",61,27,526,127,184,"2,244",32,237,241,95,18,11,481,110,89,"1,047"
053007,Haselhorst,"1,894",19,7,138,30,47,836,31,186,65,31,17,8,158,17,18,337
053008,Siemensstadt,"2,062",24,7,165,43,58,"1,006",38,196,102,31,9,5,160,45,13,455
054009,Gatow/Kladow,965,6,3,79,16,31,448,21,92,27,63,6,4,90,5,5,150
059900,"Bezirk (Sp), nicht zuzuordnen",617,34,29,111,19,62,424,20,176,47,1,9,2,110,0,65,309
060000,Steglitz-Zehlendorf,"25,072",210,115,"1,575",303,789,"13,092",582,"2,808","1,860","1,379",139,52,"2,580",616,433,"4,695"
061001,Schloßstraße,"3,961",42,17,171,44,75,"2,293",39,172,179,115,6,2,231,68,36,477
061002,Albrechtstraße,"3,127",43,25,258,43,129,"1,442",86,345,229,145,16,5,398,75,41,791
062003,Lankwitz,"2,806",25,13,270,63,124,"1,136",67,288,101,101,35,18,263,37,109,648
062004,Ostpreußendamm,"2,635",15,7,196,38,83,"1,260",63,285,241,130,11,5,341,75,43,553
063005,Teltower Damm,"2,510",25,12,146,29,77,"1,361",58,351,310,146,11,4,296,67,37,441
063006,Drakestraße,"3,235",9,7,190,29,97,"1,645",86,357,227,136,10,7,271,52,44,539
064007,Zehlendorf Südwest,"2,414",18,14,125,24,61,"1,257",69,307,143,159,12,3,295,102,22,369
064008,Zehlendorf Nord,"3,738",21,10,139,28,80,"2,351",104,570,374,446,24,6,394,140,42,627
069900,"Bezirk (St-Zd), nicht zuzuordnen",646,12,10,80,5,63,347,10,133,56,1,14,2,91,0,59,250
